alias,type,target_type,guidance,min_range_nm,max_range_nm,max_velocity_kt,warhead,power,impact_size,penetration,mass_kg,ammo_points
all_assault_raft,Torpedo,ASuW,PassiveSonar,0.5,8,25.0,BlastFrag,69,Large,Always,,
all_pilot,Paratrooper,,None,,,,,,,,,
firedecal_testing,Projectile,AAW,,,,,,,VerySmall,Minor,,
fr_am-39,Missile,ASuW,ActiveRadar,6,35,620,BlastFrag,39,Medium,Always,670,1675
fr_as11,Missile,ASuW,None,0.04,2,550.0,HEAT,8,Small,Always,30,45
fr_as12,Missile,ASuW,None,0.04,4,550.0,ArmorPiercing,16,Small,Always,75,113
fr_cal_30mm,Projectile,AAW,,,,,,0.6,VerySmall,Minor,0.85,0.85
fr_e15,Torpedo,ASuW,PassiveSonar,0.5,6.5,25.0,BlastFrag,69,Large,Always,1650,4950
fr_f17_mod1,Torpedo,ASW,PassiveSonar,0.5,,,BlastFrag,47,Large,Always,1430,4300
fr_f17_mod2,Torpedo,ASW,,0.5,,,BlastFrag,47,Large,Always,1430,4300
fr_f17p,Torpedo,ASW,,0.5,,,BlastFrag,47,Large,Always,1430,4300
fr_l3,Torpedo,ASW,ActiveSonar,0.5,2.75,25.0,BlastFrag,57,Large,Always,910,2275
fr_l5_mod3,Torpedo,ASW,,0.5,3.8,35.0,BlastFrag,42,Large,Always,1300,3250
fr_mm-38,Missile,ASuW,ActiveRadar,2,22.6,620,BlastFrag,39,Medium,Always,780,1950
fr_r530em,Missile,AAW,SemiActiveRadar,1,10.8,1500.0,BlastFrag,9,VerySmall,Always,192,384
fr_r550,Missile,AAW,IR,0.1,5.4,1310.0,BlastFrag,9,VerySmall,Always,89,133
fr_samp_t21,Bomb,ASuW,None,0.01,10.0,,BlastFrag,43,Large,Heavy,345,345
fr_samp_t25,Bomb,ASuW,None,0.01,10.0,,BlastFrag,30,Medium,Moderate,230,230
fr_sm-39,Missile,ASuW,ActiveRadar,2,30,620,BlastFrag,39,Medium,Always,780,1950
fr_super-530f,Missile,AAW,SemiActiveRadar,0.8,22,1110.0,BlastFrag,17,Small,Always,245,490
