alias,category,variant,nation,service_date,hullnumber
civ_707,aircraft,Default,US,1958,
civ_707,aircraft,Squadron1,US,,
civ_707,aircraft,Squadron2,US,,
civ_707,aircraft,Squadron3,US,,
civ_707,aircraft,Squadron4,UK,,
civ_707,aircraft,Squadron5,Germany,,
civ_707,aircraft,Squadron6,Japan,,
civ_707,aircraft,Squadron7,South_Korea,,
civ_707,aircraft,Squadron8,Australia,,
civ_c340,aircraft,Default,US,1972,
civ_dc-10,aircraft,Default,US,1971,
civ_dc-10,aircraft,Squadron1,US,,
civ_dc-10,aircraft,Squadron2,US,,
civ_dc-10,aircraft,Squadron3,US,,
civ_dc-10,aircraft,Squadron4,France,,
civ_dc-10,aircraft,Squadron5,Germany,,
civ_dc-10,aircraft,Squadron6,UK,,
civ_dc-10,aircraft,Squadron7,UK,,
civ_dc-10,aircraft,Squadron8,Thailand,,
civ_dc-10,aircraft,Squadron9,Singapore,,
civ_dc-10,aircraft,Squadron10,Japan,,
civ_dc-10,aircraft,Squadron11,Italy,,
civ_h700,aircraft,Default,US,1977,
civ_il-18,aircraft,Default,Soviet,1958,
civ_il-18,aircraft,Squadron1,Soviet,,
civ_il-18,aircraft,Squadron2,DDR,,
civ_il-18,aircraft,Squadron3,Poland,,
civ_il-18,aircraft,Squadron4,Czech,,
civ_il-18,aircraft,Squadron5,Cuba,,
civ_il-18,aircraft,Squadron6,North_Korea,,
civ_il-18,aircraft,Squadron7,Romania,,
civ_il-18,aircraft,Squadron8,Vietnam,,
civ_il-18,aircraft,Squadron9,Ghana,,
civ_il-18,aircraft,Squadron10,Mali,,
civ_il-18,aircraft,Squadron11,Soviet,,
civ_il-62,aircraft,Default,Soviet,1967,
civ_il-62,aircraft,Squadron1,Soviet,,
civ_il-62,aircraft,Squadron2,DDR,,
civ_il-62,aircraft,Squadron3,Poland,,
civ_il-62,aircraft,Squadron4,Czech,,
civ_il-62,aircraft,Squadron5,North_Korea,,
civ_tu-154,aircraft,Default,Soviet,1972,
civ_tu-154,aircraft,Squadron1,Soviet,,
