alias,category,weapon_system,system_name,weapon_type,magazine,ammo_slot,ammo,count
fr_as-350,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,30
fr_f1a,aircraft,WeaponSystem4,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
fr_f1c,aircraft,WeaponSystem4,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
fr_f1e,aircraft,WeaponSystem4,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
fr_mirage_iii,aircraft,WeaponSystem4,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
fr_sa-321,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,45
iaf_f-4e_kurnass,aircraft,WeaponSystem2,M61,CIWS,WeaponMagazineM61,Ammunition1,usn_cal_20mm,639
iaf_f-4e_kurnass,aircraft,WeaponSystem3,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
iaf_md500,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
iriaf_ah-1j,aircraft,WeaponSystem3,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,24
iriaf_ah-1j,aircraft,WeaponSystem2,M197,CIWS,WeaponMagazineM197,Ammunition1,usn_cal_20mm,750
iriaf_f-14a,aircraft,WeaponSystem3,M61,CIWS,WeaponMagazineM61,Ammunition1,usn_cal_20mm,675
iriaf_f-14a,aircraft,WeaponSystem4,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
iriaf_f-4d,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
iriaf_f-4e,aircraft,WeaponSystem2,M61,CIWS,WeaponMagazineM61,Ammunition1,usn_cal_20mm,639
iriaf_f-4e,aircraft,WeaponSystem3,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
irina_sh-3d,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,30
jasdf_f-1,aircraft,,,,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
jasdf_f-1,aircraft,WeaponSystem2,M61,CIWS,WeaponMagazineJM61A1,Ammunition1,usn_cal_20mm,750
jasdf_f-4ej,aircraft,WeaponSystem2,M61,CIWS,WeaponMagazineM61,Ammunition1,usn_cal_20mm,639
jasdf_f-4ej,aircraft,WeaponSystem3,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
jasdf_t-2,aircraft,WeaponSystem3,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
jasdf_t-2,aircraft,WeaponSystem2,M61,CIWS,WeaponMagazineJM61A1,Ammunition1,usn_cal_20mm,750
jmsdf_hss-2,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,30
pla_f-5,aircraft,WeaponSystem2,N-37,CIWS,WeaponMagazine_N-37,Ammunition1,wp_cal_37mm,40
pla_f-5,aircraft,WeaponSystem3,NR-23,CIWS,WeaponMagazine_NR-23,Ammunition1,wp_cal_23mm,160
pla_h-6a,aircraft,WeaponSystem2,GSh-23L,CIWS,WeaponMagazineGSh-23L,Ammunition1,wp_cal_23mm,400
pla_h-6a,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
pla_h-6d,aircraft,WeaponSystem3,GSh-23L,CIWS,WeaponMagazineGSh-23L,Ammunition1,wp_cal_23mm,400
pla_h-6d,aircraft,WeaponSystem4,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
pla_j-5,aircraft,WeaponSystem2,N-37,CIWS,WeaponMagazine_N-37,Ammunition1,wp_cal_37mm,40
pla_j-5,aircraft,WeaponSystem3,NR-23,CIWS,WeaponMagazine_NR-23,Ammunition1,wp_cal_23mm,160
pla_j-7c,aircraft,WeaponSystem2,GSh-23L,CIWS,WeaponMagazineGSh-23L,Ammunition1,wp_cal_23mm,200
pla_q-5,aircraft,WeaponSystem3,NR-23,CIWS,WeaponMagazine_NR-23_L,Ammunition1,wp_cal_23mm,100
pla_q-5,aircraft,WeaponSystem4,NR-23,CIWS,WeaponMagazine_NR-23_R,Ammunition1,wp_cal_23mm,100
pla_q-5,aircraft,,,,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,10
pla_q-5a,aircraft,WeaponSystem2,NR-23,CIWS,WeaponMagazine_NR-23_L,Ammunition1,wp_cal_23mm,100
pla_q-5a,aircraft,WeaponSystem3,NR-23,CIWS,WeaponMagazine_NR-23_R,Ammunition1,wp_cal_23mm,100
pla_q-5a,aircraft,,,,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,10
pla_z-8,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,45
plan_sh-5,aircraft,WeaponSystem1,GSh-23L,CIWS,WeaponMagazineGSh-23L,Ammunition1,wp_cal_23mm,400
plan_sh-5,aircraft,WeaponSystem2,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
raaf_f-111c,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
ran_a-4g,aircraft,WeaponSystem2,MK12,CIWS,WeaponMagazineMK12_1,Ammunition1,usn_cal_20mm,100
ran_a-4g,aircraft,WeaponSystem3,MK12,CIWS,WeaponMagazineMK12_2,Ammunition1,usn_cal_20mm,100
ran_a-4g,aircraft,,,,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usaf_b-52d,aircraft,WeaponSystem3,M3_Quad,CIWS,WeaponMagazineGun,Ammunition1,usn_cal_05in,2400
usaf_b-52d,aircraft,WeaponSystem4,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,96
usaf_b-52g,aircraft,WeaponSystem3,M3_Quad,CIWS,WeaponMagazineGun,Ammunition1,usn_cal_05in,2400
usaf_b-52g,aircraft,WeaponSystem4,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,192
usaf_c-141b,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usaf_f-15a,aircraft,WeaponSystem2,M61,CIWS,WeaponMagazineM61,Ammunition1,usn_cal_20mm,675
usaf_f-15a,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP_DORSAL,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,1
usaf_f-15c,aircraft,WeaponSystem2,M61,CIWS,WeaponMagazineM61,Ammunition1,usn_cal_20mm,675
usaf_f-15c,aircraft,WeaponSystem3,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usaf_f-4d,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usaf_f-4e,aircraft,WeaponSystem2,M61,CIWS,WeaponMagazineM61,Ammunition1,usn_cal_20mm,639
usaf_f-4e,aircraft,WeaponSystem3,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
usaf_f-5a,aircraft,WeaponSystem2,M39,CIWS,WeaponMagazineM39_1,Ammunition1,usn_cal_20mm,280
usaf_f-5a,aircraft,WeaponSystem3,M39,CIWS,WeaponMagazineM39_2,Ammunition1,usn_cal_20mm,280
usaf_f-5e,aircraft,WeaponSystem2,M39,CIWS,WeaponMagazineM39_1,Ammunition1,usn_cal_20mm,280
usaf_f-5e,aircraft,WeaponSystem3,M39,CIWS,WeaponMagazineM39_2,Ammunition1,usn_cal_20mm,280
usaf_f-5e,aircraft,WeaponSystem4,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usaf_hh-3,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,30
usaf_vc-137c,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usmc_ah-1t,aircraft,WeaponSystem3,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,24
usmc_ah-1t,aircraft,WeaponSystem2,M197,CIWS,WeaponMagazineM197,Ammunition1,usn_cal_20mm,750
usmc_av-8a,aircraft,WeaponSystem2,Aden,CIWS,WeaponMagazineAden_1,Ammunition1,rn_cal_30mm,130
usmc_av-8a,aircraft,WeaponSystem3,Aden,CIWS,WeaponMagazineAden_2,Ammunition1,rn_cal_30mm,130
usmc_av-8a,aircraft,WeaponSystem4,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
usn_a-6e,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usn_a-7e,aircraft,WeaponSystem2,M61,CIWS,WeaponMagazineM61,Ammunition1,usn_cal_20mm,1000
usn_a-7e,aircraft,WeaponSystem3,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usn_ch-46,aircraft,WeaponSystem1,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,30
usn_e-2c,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,30
usn_ea-6b,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usn_f-14a,aircraft,WeaponSystem3,M61,CIWS,WeaponMagazineM61,Ammunition1,usn_cal_20mm,675
usn_f-14a,aircraft,WeaponSystem4,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usn_f-4j,aircraft,WeaponSystem2,WP_AIR_CHAFF_DISP_DORSAL,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usn_fa-18a,aircraft,WeaponSystem2,M61,CIWS,WeaponMagazineM61,Ammunition1,usn_cal_20mm,675
usn_fa-18a,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP_DORSAL,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usn_p-3c,aircraft,WeaponSystem3,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,30
usn_ra-5c,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usn_s-3a,aircraft,WeaponSystem3,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
usn_sh-3h,aircraft,WeaponSystem2,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,30
usn_v-19a,aircraft,WeaponSystem3,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
wp_il-38,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,20
wp_ka-27,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_ka-29,aircraft,WeaponSystem3,GShG-762,CIWS,WeaponMagazineMinigun,Ammunition1,wp_cal_05in,1800
wp_ka-29,aircraft,WeaponSystem5,2A42_Ka-29,CIWS,WeaponMagazineA242,Ammunition1,wp_cal_30mm,250
wp_ka-29,aircraft,WeaponSystem4,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_lim-6,aircraft,WeaponSystem2,N-37,CIWS,WeaponMagazine_N-37,Ammunition1,wp_cal_37mm,40
wp_lim-6,aircraft,WeaponSystem3,NR-23,CIWS,WeaponMagazine_NR-23,Ammunition1,wp_cal_23mm,160
wp_mi-14,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_mig-17,aircraft,WeaponSystem2,N-37,CIWS,WeaponMagazine_N-37,Ammunition1,wp_cal_37mm,40
wp_mig-17,aircraft,WeaponSystem3,NR-23,CIWS,WeaponMagazine_NR-23,Ammunition1,wp_cal_23mm,160
wp_mig-21,aircraft,WeaponSystem2,GSh-23L,CIWS,WeaponMagazineGSh-23L,Ammunition1,wp_cal_23mm,200
wp_mig-23a,aircraft,WeaponSystem2,GSh-23L,CIWS,WeaponMagazineGSh-23L,Ammunition1,wp_cal_23mm,200
wp_mig-23a,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP_DORSAL,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_mig-23mld,aircraft,WeaponSystem2,GSh-23L,CIWS,WeaponMagazineGSh-23L,Ammunition1,wp_cal_23mm,200
wp_mig-23mld,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP_DORSAL,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_mig-23ms,aircraft,WeaponSystem2,GSh-23L,CIWS,WeaponMagazineGSh-23L,Ammunition1,wp_cal_23mm,200
wp_mig-23ms,aircraft,,,,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_mig-25bm,aircraft,WeaponSystem2,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_mig-25p,aircraft,WeaponSystem2,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_mig-25pd,aircraft,WeaponSystem2,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_mig-25pu,aircraft,WeaponSystem2,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_mig-25rb,aircraft,WeaponSystem2,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_mig-27,aircraft,WeaponSystem2,GSh-6-30,CIWS,WeaponMagazineGun,Ammunition1,wp_cal_30mm,300
wp_mig-27,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP_DORSAL,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_mig-28,aircraft,WeaponSystem2,GSh-23L,CIWS,WeaponMagazineGSh-23L_1,Ammunition1,wp_cal_23mm,280
wp_mig-28,aircraft,WeaponSystem3,GSh-23L,CIWS,WeaponMagazineGSh-23L_2,Ammunition1,wp_cal_23mm,280
wp_mig-28,aircraft,WeaponSystem4,US_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,25
wp_p-42,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_p-42_rldn,aircraft,WeaponSystem2,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_su-24a,aircraft,WeaponSystem2,GSh-6-23,CIWS,WeaponMagazineGun,Ammunition1,wp_cal_23mm,500
wp_su-24a,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
wp_su-24m,aircraft,WeaponSystem2,GSh-6-23,CIWS,WeaponMagazineGun,Ammunition1,wp_cal_23mm,500
wp_su-24m,aircraft,WeaponSystem3,WP_AIR_CHAFF_DISP,Chaff,WeaponMagazineChaff,Ammunition1,wp_aircraft_chaff,15
