alias,category,unit_type,role,ref_field,variant_count,variants,nations,service_from,service_to,loadouts,displacement_t,length_m,beam_m,max_speed_kt,telegraph_kt,armor
civ_707,aircraft,Aircraft,Airliner,SquadronReference,9,"Default,Squadron1-8",US|UK|Germany|Japan|South_Korea|Australia,1958,1958,,,,,,,
civ_c340,aircraft,Aircraft,Airliner,SquadronReference,1,Default,US,1972,1972,,,,,,,
civ_dc-10,aircraft,Aircraft,Airliner,SquadronReference,12,"Default,Squadron1-11",US|France|Germany|UK|Thailand|Singapore|Japan|Italy,1971,1971,,,,,,,
civ_h700,aircraft,Aircraft,Airliner,SquadronReference,1,Default,US,1977,1977,,,,,,,
civ_il-18,aircraft,Aircraft,Airliner,SquadronReference,12,"Default,Squadron1-11",Soviet|DDR|Poland|Czech|Cuba|North_Korea|Romania|Vietnam|Ghana|Mali,1958,1958,,,,,,,
civ_il-62,aircraft,Aircraft,Airliner,SquadronReference,6,"Default,Squadron1-5",Soviet|DDR|Poland|Czech|North_Korea,1967,1967,,,,,,,
civ_tu-154,aircraft,Aircraft,Airliner,SquadronReference,7,"Default,Squadron1-6",Soviet|DDR|Poland|Cuba|North_Korea|Romania,1972,1972,,,,,,,
civ_v35,aircraft,Aircraft,Airliner,SquadronReference,1,Default,US,1966,1966,,,,,,,
fr_alouette_II,aircraft,Helicopter,"Attack,Transport,SAR",SquadronReference,11,"Default,Squadron1-10",France|Belgium|Germany|Portugal|Spain|Switzerland|Sweden|Turkey|Brazil|Philippines,1957,1957,"AntiArmor,AntiShip,Passengers",,9.25,,,,
fr_as-350,aircraft,Helicopter,Transport,SquadronReference,3,"Default,Squadron1,Squadron2",France|Australia|US,1966,1966,Transport,,,,,,
fr_f1a,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,7,"Default,Squadron1-6",France|Libya|South_Africa,1974,1978,"Empty,AirToAir,Strike,StrikeLongRange,AntiShip,Ferry",,,,,,
fr_f1c,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,12,"Default,Squadron1-11",France|Greece|Jordan|South_Africa|Spain|Kuwait,1974,1974,"Empty,AirToAir,Strike,StrikeLongRange,AntiShip,Ferry",,,,,,
fr_f1e,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,12,"Default,Squadron1-11",France|Ecuador|Iraq|Jordan|Libya|Spain|Qatar,1974,1974,"Empty,AirToAir,Strike,StrikeLongRange,AntiShip,Ferry",,,,,,
fr_h700,aircraft,Aircraft,Bomber,SquadronReference,1,Default,US,1977,1977,"Empty,AntiShip",,,,,,
fr_mirage_iii,aircraft,Aircraft,"Fighter,Bomber",SquadronReference,7,"Default,Squadron1-6",France|Australia|Switzerland|Argentina,1965,1974,"AirToAir,AirToAirLongRange,Strike,StrikeLongRange",,,,,,
fr_sa-321,aircraft,Helicopter,"ASW,Attack,SAR",SquadronReference,5,"Default,Squadron1-4",Iraq|France,1966,1977,"AntiShipPrecision,AntiShip,ASWKiller",,,,,,
iaf_f-4e_kurnass,aircraft,Aircraft,"Fighter,Bomber,SEAD",SquadronReference,6,"Default,Squadron1-5",Israel,1969,1969,"AirToAir,Strike,StrikeLongRange,StrikePrecision,AntiShip,SEAD,SEADAdvanced",,,,,,
