Название_корабля,Категория,Тип_корабля,Страна,Год_ввода_в_строй,Оригинальная_стоимость,Стоимость_1985_USD_млн,Описание
USS Nimitz (CVN-68),Авианосец,Атомный суперавианосец,США,1975,"$1,980 млн",3960.0,"Головной атомный суперавианосец, водоизмещение ~100 000 т"
USS Ohio (SSBN-726),Подводная лодка,ПЛАРБ (с баллистическими ракетами),США,1981,"$1,500 млн",1800.0,"Атомный ракетный подводный крейсер, 24 ракеты Trident"
USS Los Angeles (SSN-688),Подводная лодка,Многоцелевая АПЛ,США,1976,$900 млн,1600.0,Основная ударная атомная подлодка США эпохи Холодной войны
USS Enterprise (CVN-65),Авианосец,Атомный суперавианосец,США,1961,$451.3 млн,1580.0,"Первый в мире атомный авианосец, 8 реакторов"
USS Virginia (CGN-38),Крейсер,Атомный ракетный крейсер,США,1976,$675 млн,1270.0,Атомный крейсер УРО с мощным ПВО/ПЛО комплексом
USS Ticonderoga (CG-47),Крейсер,Ракетный крейсер (с Иджис),США,1983,"$1,000 млн",1070.0,Первый корабль с БИУС Aegis (Иджис) и радаром SPY-1
USS Tarawa (LHA-1),Десантный корабль,Универсальный десантный корабль,США,1976,$300 млн,560.0,Крупный УДК для высадки морской пехоты и вертолетов
USS Spruance (DD-963),Эсминец,Эсминец ПЛО,США,1975,$214 млн,428.0,Крупный высокоспециализированный противолодочный эсминец
USS Kidd (DDG-993),Эсминец,Ракетный эсминец ПВО,США,1981,$350 млн,413.0,Модификация Spruance с усиленной ПВО (изначально заказ Ирана)
HMS Invincible (R05),Авианосец,Лёгкий авианосец (STOVL),Великобритания,1980,£185 млн,400.0,Флагман британского флота в Фолклендской войне (самолеты Harrier)
USS Leahy (CG-16),Крейсер,Ракетный крейсер (DLG/CG),США,1962,$85 млн,300.0,Корабельный лидер/крейсер УРО первого поколения
USS Oliver Hazard Perry (FFG-7),Фрегат,Ракетный фрегат,США,1977,$122 млн,205.0,Массовый эскортный ракетный фрегат ВМС США
HMS Broadsword (Type 22),Фрегат,Фрегат ПЛО / ПВО,Великобритания,1979,£68 млн,200.0,Основной фрегат ВМС Великобритании с ЗРК Seawolf
USS Charles F. Adams (DDG-2),Эсминец,Ракетный эсминец,США,1960,$34 млн,122.0,Классический ракетный эсминец с ЗРК Tartar
USS Garcia (FF-1040),Фрегат,Фрегат ПЛО,США,1964,$28 млн,97.0,Океанский фрегат ПЛО с паротурбинной установкой
USS Knox (FF-1052),Фрегат,Фрегат ПЛО,США,1969,$31 млн,90.0,Самый многочисленный класс противолодочных эскортов 1970-х
USS Pegasus (PHM-1),Малый корабль / Катер,Ракетный катер на подводных крыльях,США,1977,$42 млн,71.0,Высокоскоростной катер (48 узлов) с ПКР Harpoon
Sa'ar 4 (Reshef),Малый корабль / Катер,Ракетный катер / Корвет,Израиль,1973,$18 млн,42.0,"Ракетный катер с ПКР Gabriel и Harpoon, прошел испытания в войне 1973 г."
La Combattante II,Малый корабль / Катер,Ракетный катер,Франция / Экспорт,1968,$12 млн,36.0,Один из самых популярных экспортных ракетных катеров в мире
USS Asheville (PG-84),Малый корабль / Катер,Канонерская лодка / Патрульный катер,США,1966,$5.0 млн,16.2,Быстрый патрульный катер с газотурбинным двигателем CODOG
HMS Peacock (P239),Малый корабль / Катер,Патрульный корабль (сторожевой),Великобритания,1983,£10 млн,14.0,Патрульный корабль прибрежной зоны (использовался в Гонконге)
PB Mk III (Sea Spectre),Малый корабль / Катер,Сторожевой катер,США,1977,$1.5 млн,2.5,65-футовый патрульный катер для береговой охраны и специальных операций
PCF Swift Boat (Mk I/II),Малый корабль / Катер,Речной/прибрежный патрульный катер,США,1965,$150 тыс,0.5,"Легкий патрульный катер, активно применявшийся во Вьетнаме"
